,slug,#,name,symbol,marketcap,price,totalsupply,volume,change1h,change24h,change7d,more-options
66,cybermiles,"
67
",CMT,CMT,209022489.266,0.329751,633879773.727,46187900.0,-0.23%,3.15%,5.37%,Add to Watchlist
67,pivx,"
68
",PIVX,PIVX,204946906.14,3.63847,56327771.327,1777050.0,0.40%,-3.25%,-23.52%,Add to Watchlist
68,monacoin,"
69
",MONA,MONA,203151162.398,3.39895,59768799.8935,1064680.0,0.42%,2.12%,-5.37%,Add to Watchlist
69,maidsafecoin,"
70
",MAID,MAID,194356779.277,0.429468,452552412.0,2671870.0,1.22%,-8.12%,11.72%,Add to Watchlist
70,cortex,"
71
",CTXC,CTXC,194083091.981,1.29568,149792458.0,39246000.0,-0.23%,-7.26%,-27.89%,Add to Watchlist
71,elastos,"
72
",ELA,ELA,190674207.402,37.9464,5024829.95494,16792000.0,-0.70%,-2.29%,-17.73%,Add to Watchlist
72,cryptonex,"
73
",CNX,CNX,188485024.499,4.16151,45292459.8281,1334690.0,-2.23%,-2.47%,-17.09%,Add to Watchlist
73,bancor,"
74
",BNT,BNT,183703670.374,3.55222,51715172.589,9285110.0,0.34%,-6.74%,-25.29%,Add to Watchlist
74,reddcoin,"
75
",RDD,RDD,181363237.176,0.00629543,28808713173.8,3154510.0,0.80%,-5.81%,-17.69%,Add to Watchlist
75,gas,"
76
",GAS,GAS,180800611.176,17.8509,10128375.1058,4151810.0,0.55%,-3.94%,-25.57%,Add to Watchlist
76,huobi-token,"
77
",HT,HT,179655218.618,3.59309,50000200.0,61092200.0,-0.44%,-4.11%,-19.18%,Add to Watchlist
77,syscoin,"
78
",SYS,SYS,179575847.428,0.336092,534305628.9,1098930.0,0.12%,-5.40%,-23.18%,Add to Watchlist
78,skycoin,"
79
",SKY,SKY,179436206.284,19.9383,8999574.0,2904150.0,3.71%,-5.29%,-20.44%,Add to Watchlist
79,veritaseum,"
80
",VERI,VERI,176693859.432,86.7573,2036645.44,616018.0,0.52%,-4.84%,-1.21%,Add to Watchlist
80,qash,"
81
",QASH,QASH,171470950.0,0.489917,350000000.0,1492400.0,-1.30%,-2.69%,-18.76%,Add to Watchlist
81,gxchain,"
82
",GXS,GXS,165615600.0,2.76026,60000000.0,12721100.0,0.12%,-6.81%,-21.66%,Add to Watchlist
82,mithril,"
83
",MITH,MITH,165531071.608,0.540215,306417022.126,17856500.0,-0.54%,-7.32%,-27.23%,Add to Watchlist
